"Gene","Alias"
"ATXN3L","ATXN3L"
"ARNT2","ARNT2;WEDAS;bHLHe1"
"GPSM1","GPSM1"
"PHF1","PHF1"
"NEUROD6","NEUROD6"
"PTCHD3","PTCHD3"
"MILR1","MILR1"
"BNIP3L","BNIP3L;BNIP3a;NIP3L;NIX"
"SLC35A1","SLC35A1"
"CYR61","CYR61"
"MTHFD1L","MTHFD1L"
"EMG1","EMG1"
"POLR2E","POLR2E;RPABC1;RPB5;XAP4;hRPB25;hsRPB5"
"RELA","RELA"
"CPVL","CPVL"
"CLTC","CLTC"
"TMCO3","TMCO3"
"TGM5","TGM5;PSS2;TG(X);TGASE5;TGASEX;TGM6;TGMX;TGX"
"NRSN2","NRSN2"
"INPP5J","INPP5J"
"AOAH","AOAH"
"NME4","NME4"
"RAPGEFL1","RAPGEFL1"
"DIO1","DIO1;5DI;THMA2;TXDI1"
"RFC2","RFC2"
"MPC1","MPC1;BRP44L;CGI-129;MPYCD;SLC54A1"
"GNA11","GNA11"
"TTC28","TTC28"
"IL13","IL13"
"LEFTY1","LEFTY1"
"SCRN3","SCRN3;SES3"
"ALOX5AP","ALOX5AP"
"ACP6","ACP6"
"CRYL1","CRYL1"
"SH3GLB1","SH3GLB1"
"FANCC","FANCC;FA3;FAC;FACC"
"EPT1","EPT1"
"ABCB7","ABCB7"
"PSMD1","PSMD1"
"WIPF1","WIPF1"
"CHMP2B","CHMP2B;ALS17;CHMP2.5;DMT1;FTDALS7;VPS2-2;VPS2B"
"SYN2","SYN2"
"IRF5","IRF5"
"TNXB","TNXB"
"TAZ","TAZ"
"CDH23","CDH23;CDHR23;PITA5;USH1D"
"POLR2A","POLR2A"
"POLD2","POLD2"
"NFKB2","NFKB2"
"RPL17","RPL17"
"RNASET2","RNASET2;RNASE6PL;bA514O12.3"
"SMC6","SMC6"
"ST6GALNAC3","ST6GALNAC3"
"IQSEC1","IQSEC1;ARF-GEP100;ARFGEP100;BRAG2;GEP100;IDDSSBA"
"TRAPPC3","TRAPPC3"
"GMPR2","GMPR2"
"ROBO2","ROBO2"
"PRODH","PRODH"
"TAF10","TAF10;TAF2A;TAF2H;TAFII30"
"LCE1E","LCE1E"
"SULF1","SULF1"
"IFNA13","IFNA13"
"PIGW","PIGW"
"SDHB","SDHB;CWS2;IP;MC2DN4;PGL4;PPGL4;SDH;SDH1;SDH2;SDHIP"
"NRN1","NRN1"
"SRP19","SRP19"
"CARS2","CARS2"
"DNAI1","DNAI1"
"CTDSP2","CTDSP2;OS4;PSR2;SCP2"
"CABIN1","CABIN1"
"FOLR2","FOLR2"
"SEPT5","SEPT5"
"GALC","GALC"
"HLA-DRB1","HLA-DRB1;DRB1;HLA-DR1B;HLA-DRB;SS1"
"SAMD11","SAMD11"
"RPGRIP1L","RPGRIP1L"
"ITGB2","ITGB2"
"APOBEC3D","APOBEC3D"
"LAMA2","LAMA2;LAMM;MDC1A"
"NXNL2","NXNL2"
"SLC9A7","SLC9A7"
"RHD","RHD"
"CCDC88A","CCDC88A;APE;GIRDIN;GIV;GRDN;HkRP1;KIAA1212;PEHO;PEHOL"
"MSRB1","MSRB1"
"MECP2","MECP2"
"ING1","ING1"
"ZCCHC17","ZCCHC17"
"NFYC","NFYC;CBF-C;CBFC;H1TF2A;HAP5;HSM;NF-YC"
"BHLHE23","BHLHE23"
"HSF1","HSF1"
"HIBCH","HIBCH"
"INTS7","INTS7"
"VPS11","VPS11;END1;HLD12;HLD12; DYT32;PEP5;RNF108;hVPS11"
"GSTA3","GSTA3"
"MEIKIN","MEIKIN"
"MTSS1L","MTSS1L"
"STARD10","STARD10"
"PGR","PGR;NR3C3;PR"
"S1PR5","S1PR5"
"HNF1B","HNF1B"
"ASNA1","ASNA1"
"B3GAT2","B3GAT2"
"HNF4A","HNF4A;FRTS4;HNF4;HNF4a7;HNF4a8;HNF4a9;HNF4alpha;MODY;MODY1;NR2A1;NR2A21;TCF;TCF-14;TCF14"
"ALDOB","ALDOB"
"IFNL4","IFNL4"
"GEN1","GEN1"
"OPTN","OPTN"
"AOC1","AOC1;ABP;ABP1;DAO;DAO1;KAO;KDAO"
"PUS3","PUS3"
"B3GALNT2","B3GALNT2"
"AP2M1","AP2M1"
"PPP5D1","PPP5D1"
"JAGN1","JAGN1"
"SLC6A6","SLC6A6"
"RALGAPA2","RALGAPA2"
"DNAH11","DNAH11"
"GTF2H3","GTF2H3;BTF2;P34;TFB4;TFIIH"
"TAP2","TAP2"
"FAM21A","FAM21A"
"INA","INA"
"UGT2B28","UGT2B28"
"SGCZ","SGCZ"
"CD24","CD24;CD24A"
"KCNN3","KCNN3"
"GLUL","GLUL"
"SYNE1","SYNE1"
"GRIA3","GRIA3"
"CTBP2","CTBP2"
"SEZ6L2","SEZ6L2;BSRPA;PSK-1"
"MED6","MED6"
"KYNU","KYNU"
"SIRT2","SIRT2"
"GGA3","GGA3"
"A0A087WYN8","A0A087WYN8"
"UGP2","UGP2;DEE83;EIEE83;SVUGP2;UDPG;UDPGP;UDPGP2;UGP1;UGPP1;UGPP2;pHC379"
"CA9","CA9"
"PTGES3","PTGES3"
"SNX9","SNX9"
"PRMT2","PRMT2"
"ATP13A3","ATP13A3"
"PKP1","PKP1;B6P;EDSFS"
"CGA","CGA"
"SETDB2","SETDB2"
"BARD1","BARD1"
"LCN9","LCN9"
"RECQL4","RECQL4"
"MAN1C1","MAN1C1"
"RAD51C","RAD51C"
"MAP7","MAP7;E-MAP-115;EMAP115"
"MTRF1","MTRF1"
"TACR2","TACR2"
"FXYD6-FXYD2","FXYD6-FXYD2"
"LRCOL1","LRCOL1"
"PARVB","PARVB;CGI-56"
"MRM1","MRM1"
"SYCP1","SYCP1"
"HRH3","HRH3"
"GCNT7","GCNT7"
"HMGN3","HMGN3;PNAS-24;PNAS-25;TRIP7"
"LIPI","LIPI"
"SCNN1B","SCNN1B"
"SLC26A7","SLC26A7"
"COL25A1","COL25A1"
"HTR2A","HTR2A;5-HT2A;HTR2"
"DHPS","DHPS"
"ALK","ALK"
"CTNNA1","CTNNA1"
"IDH3B","IDH3B"
"SBF2","SBF2;CMT4B2;DENND7B;MTMR13"
"NAPB","NAPB"
"PYCR2","PYCR2;HLD10;P5CR2"
"PLA2G2D","PLA2G2D"
"GAS8","GAS8"
"PTPRQ","PTPRQ"
"REV3L","REV3L"
"PPIP5K2","PPIP5K2;CFAP160;DFNB100;HISPPD1;IP7K2;VIP2"
"DTD1","DTD1"
"DOC2B","DOC2B"
