"Gene","Alias"
"MTMR1","MTMR1"
"CHI3L2","CHI3L2"
"AMPD2","AMPD2"
"E9PIP4","E9PIP4"
"STIM1","STIM1;D11S4896E;GOK;IMD10;STRMK;TAM;TAM1"
"MAF1","MAF1"
"BCLAF1","BCLAF1"
"CLNS1A","CLNS1A"
"JAML","JAML"
"PTS","PTS"
"SOGA3","SOGA3;C6orf174;dJ403A15.3"
"RAPSN","RAPSN"
"GDPD5","GDPD5"
"FIBP","FIBP"
"FGD4","FGD4"
"CCS","CCS"
"SYVN1","SYVN1;DER3;HRD1"
"PYGL","PYGL"
"ABCC8","ABCC8"
"SIRT3","SIRT3"
"MOCS2","MOCS2"
"ANO3","ANO3;C11orf25;DYT23;DYT24;GENX-3947;TMEM16C"
"CLP1","CLP1"
"RAB29","RAB29"
"TM7SF2","TM7SF2"
"E9PLN8","E9PLN8"
"AASDHPPT","AASDHPPT;AASD-PPT;ACPS;CGI-80;LYS2;LYS5"
"TAF1D","TAF1D"
"ME3","ME3"
"E9PMD0","E9PMD0"
"DERA","DERA;CGI-26;DEOC"
"ALKBH3","ALKBH3"
"CDON","CDON"
"ANO1","ANO1"
"LRP4","LRP4"
"FDFT1","FDFT1;DGPT;ERG9;SQS;SQSD;SS"
"SYT12","SYT12"
"FAR1","FAR1"
"POLR2M","POLR2M"
"KCNJ11","KCNJ11"
"ATG13","ATG13;KIAA0652;PARATARG8"
"PDZD3","PDZD3"
"SAA1","SAA1"
"UVRAG","UVRAG"
"PEX26","PEX26"
"PDE6A","PDE6A;CGPR-A;PDEA;RP43"
"F2Z2F3","F2Z2F3"
"DUSP18","DUSP18"
"GALT","GALT"
"PTGFR","PTGFR"
"ATP6V1G2-DDX39B","ATP6V1G2-DDX39B"
"TALDO1","TALDO1"
"SYP","SYP"
"ADA","ADA"
"C12orf65","C12orf65"
"LAMTOR1","LAMTOR1;C11orf59;PDRO;Ragulator1;p18;p27RF-Rho"
"M6PR","M6PR"
"RAD52","RAD52"
"ANAPC15","ANAPC15"
"NR4A1","NR4A1"
"DNAJB11","DNAJB11;ABBP-2;ABBP2;DJ9;Dj-9;EDJ;ERdj3;ERj3;ERj3p;PKD6;PRO1080;UNQ537"
"ACTN4","ACTN4"
"BCKDHA","BCKDHA"
"PSMA8","PSMA8"
"C8B","C8B"
"HMBS","HMBS;ENCEP;LENCEP;PBG-D;PBGD;PORC;UPS"
"UNG","UNG"
"PLCZ1","PLCZ1"
"PIWIL1","PIWIL1"
"F5GYJ5","F5GYJ5"
"VNN3","VNN3;HSA238982"
"C3AR1","C3AR1"
"TPK1","TPK1"
"ALG10","ALG10"
"HNF1A","HNF1A"
"CLIP1","CLIP1;CLIP;CLIP-170;CLIP170;CYLN1;RSN"
"RHNO1","RHNO1"
"SLC24A1","SLC24A1"
"TEX40","TEX40"
"FKBP4","FKBP4;FKBP51;FKBP52;FKBP59;HBI;Hsp56;PPIase;p52"
"PLD4","PLD4"
"CIZ1","CIZ1"
"PRKAB1","PRKAB1"
"LPO","LPO"
"GNS","GNS"
"TUBA1C","TUBA1C;TUBA6;bcm948"
"HMGA2","HMGA2"
"TNFRSF1A","TNFRSF1A"
"MRPL48","MRPL48"
"CYB561","CYB561"
"CHMP1A","CHMP1A"
"DAB2IP","DAB2IP;AF9Q34;AIP-1;AIP1;DIP1/2"
"DSTN","DSTN"
"PIK3R3","PIK3R3"
"PHKG1","PHKG1"
"POLDIP3","POLDIP3"
"CENPJ","CENPJ"
"COQ3","COQ3;DHHBMT;DHHBMTASE;UG0215E05;bA9819.1"
"RANBP1","RANBP1"
"ORMDL1","ORMDL1"
"TNFRSF10A","TNFRSF10A"
"TGFA","TGFA"
"HAL","HAL"
"PRIM1","PRIM1;PDIL;p49"
"RNF41","RNF41"
"F8VP50","F8VP50"
"TARBP2","TARBP2"
"CAD","CAD"
"VDR","VDR"
"LIMA1","LIMA1;EPLIN;LDLCQ8;SREBP3"
"SLC16A7","SLC16A7"
"METAP2","METAP2"
"DNA2","DNA2"
"SOCS2","SOCS2"
"MFSD5","MFSD5;SLC61A1;hsMOT2"
"AGAP2","AGAP2"
"LALBA","LALBA"
"SLC38A1","SLC38A1"
"SLC48A1","SLC48A1"
"ERP29","ERP29;C12orf8;ERp28;ERp31;HEL-S-107;PDI-DB;PDIA9"
"F8VZ95","F8VZ95"
"CNR1","CNR1"
"AK2","AK2"
"MMP14","MMP14"
"F8W1H4","F8W1H4"
"CHPF","CHPF"
"DPF3","DPF3"
"HFE","HFE"
"PRPH","PRPH"
"MYO16","MYO16;MYAP3;MYR8;Myo16b;NYAP3;PPP1R107"
"UBA3","UBA3"
"ENGASE","ENGASE"
"ASL","ASL"
"A1CF","A1CF"
"HAT1","HAT1;KAT1"
"CLASP1","CLASP1"
"ELN","ELN"
"PPP4R1","PPP4R1"
"GGCX","GGCX;VKCFD1"
"BTNL2","BTNL2"
"TFRC","TFRC"
"RQCD1","RQCD1"
"FTO","FTO"
"KCNH8","KCNH8"
"OGG1","OGG1;HMMH;HOGG1;MUTM;OGH1"
"BMPER","BMPER"
"TRMT61B","TRMT61B"
"MMADHC","MMADHC"
"PMM1","PMM1"
"PODXL","PODXL"
"NCAPD3","NCAPD3;CAP-D3;CAPD3;MCPH22;hCAP-D3;hHCP-6;hcp-6"
"HAS1","HAS1"
"ASPG","ASPG"
"WARS","WARS"
"ADSSL1","ADSSL1"
"RPGRIP1","RPGRIP1"
"ERH","ERH;DROER"
"RAX","RAX"
"ACTN1","ACTN1"
"DEGS2","DEGS2"
"ERO1A","ERO1A"
"SHMT2","SHMT2"
"ITPK1","ITPK1;ITRPK1"
"AHSA1","AHSA1"
"GMFB","GMFB"
"TOMM20L","TOMM20L"
"COCH","COCH"
"MC1R","MC1R"
"MIA2","MIA2;CTAGE5;MEA6;MGEA;MGEA11;MGEA6;TALI"
"EIF2S1","EIF2S1"
"POMT2","POMT2"
"BDKRB1","BDKRB1"
"ALDH6A1","ALDH6A1"
"PNP","PNP;NP;PRO1837;PUNP"
"ESR2","ESR2"
"LIN52","LIN52"
"MST1","MST1"
"SLC12A2","SLC12A2"
"BRMS1","BRMS1"
"GDI1","GDI1"
"SMC1A","SMC1A"
"CDSN","CDSN"
"KIF13A","KIF13A"
"NT5E","NT5E;CALJA;CD73;E5NT;NT;NT5;NTE;eN;eNT"
"H0Y3Z8","H0Y3Z8"
"CMTR1","CMTR1"
"APMAP","APMAP"
"SLC23A2","SLC23A2"
"DDR2","DDR2;MIG20a;NTRKR3;TKT;TYRO10;WRCN"
"UROD","UROD"
"CTPS2","CTPS2"
"TNR","TNR"
"AMT","AMT"
"ALAS2","ALAS2;ALAS-E;ALASE;ANH1;ASB;SIDBA1;XLDPP;XLEPP;XLSA"
"C7orf60","C7orf60"
"CDK5RAP1","CDK5RAP1"
"VIP","VIP"
"H0Y858","H0Y858"
"CENPC","CENPC;CENP-C;CENPC1;MIF2;hcp-4"
"DNPH1","DNPH1"
"AP1AR","AP1AR"
"SEPSECS","SEPSECS"
"PDGFC","PDGFC"
"RFC1","RFC1;CHMD;FOLT;IFC-1;IFC1;IMD114;MEGAF;REFC;RFC;RFT-1;hRFC;hSLC19A1"
"PCBD2","PCBD2"
"HEXB","HEXB"
"ATXN7","ATXN7"
"H0YCG3","H0YCG3"
"ADAR","ADAR;ADAR1;AGS6;DRADA;DSH;DSRAD;G1P1;IFI-4;IFI4;K88DSRBP;P136"
"SPO11","SPO11"
"ELMO2","ELMO2"
"RSF1","RSF1"
"RRM1","RRM1"
"CD44","CD44;CDW44;CSPG8;ECM-III;ECMR-III;H-CAM;HCELL;HUTCH-1;HUTCH-I;Hermes-1;IN;LHR;MC56;MDU2;MDU3;MIC4;Pgp1"
"CEP126","CEP126"
"CRTC2","CRTC2"
"MARC1","MARC1"
"GDA","GDA"
"H0YE66","H0YE66"
"COG6","COG6;CDG2L;COD2;SHNS"
"METTL1","METTL1"
"MARS","MARS"
"H0YIV9","H0YIV9"
"STON2","STON2"
"DICER1","DICER1;DCR1;Dicer;Dicer1e;GLOW;HERNA;K12H4.8-LIKE;MNG1;RMSE2;aviD"
"CRTC3","CRTC3"
"NUSAP1","NUSAP1"
"RABGGTA","RABGGTA"
"KIF23","KIF23;CDA3;CDAIII;CDAN3;CDAN3A;CHO1;KNSL5;MKLP-1;MKLP1"
"C9orf69","C9orf69"
"SRP14","SRP14"
"FAH","FAH"
"SLC24A5","SLC24A5"
"GDPGP1","GDPGP1;C15orf58;VTC2"
"TICRR","TICRR"
"SLC28A2","SLC28A2"
"GCHFR","GCHFR"
"CNEP1R1","CNEP1R1"
"H3BM21","H3BM21"
"ORC6","ORC6;ORC6L"
"CENPN","CENPN"
"ARPP19","ARPP19"
"RHOT2","RHOT2"
"TSC2","TSC2"
"USB1","USB1;C16orf57;HVSL1;Mpn1;PN;hMpn1;hUsb1"
"H3BN98","H3BN98"
"USP10","USP10"
"CORO1A","CORO1A"
"H3BNC9","H3BNC9"
"H3BNG1","H3BNG1"
"H3BNH8","H3BNH8"
"ADAD2","ADAD2;TENRL"
"ABAT","ABAT"
"GCSH","GCSH"
"HAUS2","HAUS2"
"IL34","IL34"
"KATNB1","KATNB1;KAT;LIS6"
"CHRFAM7A","CHRFAM7A"
"H3BQ15","H3BQ15"
"TIPIN","TIPIN"
"TERF2","TERF2;TRBF2;TRF2"
"IL4R","IL4R"
"NUDT7","NUDT7"
"H3BRW5","H3BRW5"
"AHSP","AHSP"
"NETO2","NETO2;BTCL2;NEOT2"
"CX3CL1","CX3CL1"
"CTU2","CTU2"
"CHKB-CPT1B","CHKB-CPT1B"
"EARS2","EARS2"
"SYS1-DBNDD2","SYS1-DBNDD2;C20orf169-DBNDD2"
"H3BUT2","H3BUT2"
"PNPT1","PNPT1"
"PAM","PAM"
"KDELR2","KDELR2"
"PLB1","PLB1"
"DTYMK","DTYMK;CDC8;CONPM;PP3731;TMPK;TYMK"
"OTOF","OTOF"
"HIBADH","HIBADH"
"AMY2A","AMY2A"
"ESD","ESD"
"NFASC","NFASC;NEDCPMD;NF;NRCAML"
"H7C0S8","H7C0S8"
"PRMT1","PRMT1"
"DPAGT1","DPAGT1"
"SMS","SMS"
"EMC1","EMC1"
"RFK","RFK;RIFK"
"HEG1","HEG1"
"CACNA1F","CACNA1F"
"SLC33A1","SLC33A1"
"COPRS","COPRS;C17orf79;COPR5;HSA272196;TTP1"
"AKT1S1","AKT1S1"
"PANO1","PANO1"
"PFKFB1","PFKFB1"
"GCGR","GCGR;GGR;GL-R;MVAH"
"ABHD12","ABHD12"
"SCIMP","SCIMP"
"SLC26A11","SLC26A11"
"GFY","GFY"
"ASPHD1","ASPHD1"
"CLUH","CLUH;CLU1"
"ENPP7","ENPP7"
"PAM16","PAM16"
"PRPF8","PRPF8"
"DHODH","DHODH"
"I3L4J1","I3L4J1"
"RBBP8","RBBP8;COM1;CTIP;JAWAD;JWDS;RIM;SAE2;SCKL2"
"PLA2G2C","PLA2G2C"
"MDFIC","MDFIC"
"BNIP2","BNIP2"
"CAMP","CAMP"
"RGMB","RGMB"
"SEPT1","SEPT1;DIFF6;LARP;PNUTL3;SEP1;Septin-1"
"PARVA","PARVA"
"AGTPBP1","AGTPBP1"
"HDAC7","HDAC7"
"SLC6A4","SLC6A4"
"OLA1","OLA1;DOC45;GBP45;GTBP9;GTPBP9;PTD004"
"BABAM1","BABAM1"
"HS3ST6","HS3ST6"
"SEPHS2","SEPHS2;SPS2"
"TAF6","TAF6"
"PIK3R5","PIK3R5"
"AURKB","AURKB"
"ISYNA1","ISYNA1"
"CNDP1","CNDP1;CN1;CPGL2;HsT2308"
"MSL1","MSL1"
"SKA2","SKA2"
"RTTN","RTTN"
"CASC3","CASC3"
"DDX5","DDX5;G17P1;HLR1;HUMP68;p68"
"ORMDL3","ORMDL3"
"SLC16A5","SLC16A5"
"ENOSF1","ENOSF1"
"ITGB4","ITGB4"
"PNPO","PNPO;HEL-S-302;PDXPO"
"ARHGDIA","ARHGDIA"
"CDK5R1","CDK5R1"
"MYL12A","MYL12A"
"MPO","MPO"
"TMEM173","TMEM173;ERIS;MITA;MPYS;NET23;SAVI;STING;STING-beta;hMITA;hSTING"
"TEN1","TEN1"
"ASF1B","ASF1B"
"TUBG1","TUBG1"
"SLC2A5","SLC2A5"
"NARS","NARS;ASNRS;NEDMILEG;NEDMILG"
"EXOSC10","EXOSC10"
"SNRPD2","SNRPD2"
"PSMD8","PSMD8"
"LONP1","LONP1;CODASS;LON;LONP;LonHS;PIM1;PRSS15;hLON"
"HDAC5","HDAC5"
"FECH","FECH"
"TRMT1","TRMT1"
"ADGRL1","ADGRL1"
"PEX14","PEX14"
"NCBP3","NCBP3;C17orf85;ELG;HSA277841"
"CNTNAP1","CNTNAP1"
"DNASE2","DNASE2"
"TK1","TK1"
"RNMT","RNMT"
"GIPR","GIPR"
"FARSA","FARSA;CML33;FARSL;FARSLA;FRSA;PheHA;RILDBC2"
"COASY","COASY"
"K7EQS6","K7EQS6"
"FZR1","FZR1"
"MC5R","MC5R"
"TBXA2R","TBXA2R;BDPLT13;TXA2-R"
"ZNF571","ZNF571"
"K7ERQ8","K7ERQ8"
"K7ERS5","K7ERS5"
"K7N7A8","K7N7A8"
"ATG5","ATG5"
"NUP62","NUP62;IBSN;SNDI;p62"
"PLAUR","PLAUR"
"PGPEP1","PGPEP1"
"FPR2","FPR2"
"GTF2F1","GTF2F1"
"MDN1","MDN1"
"SYT3","SYT3;SytIII"
"ZFP36","ZFP36"
"GYS1","GYS1"
"PGLYRP2","PGLYRP2"
"AP2S1","AP2S1"
"TRPM4","TRPM4"
"HPN","HPN"
"PLA2G4C","PLA2G4C"
"ALKBH7","ALKBH7"
"TMEM145","TMEM145"
"PGLS","PGLS"
"M0R2P5","M0R2P5"
"M0R3G1","M0R3G1"
"ERVH48-1","ERVH48-1"
"KIF2A","KIF2A"
"SGK1","SGK1"
"TK2","TK2"
"FZD9","FZD9"
"DDX39A","DDX39A"
"ACOT7","ACOT7"
"MYO1C","MYO1C"
"SNAP23","SNAP23"
"HAX1","HAX1"
"FXYD1","FXYD1"
"AIP","AIP"
"CCL24","CCL24"
"GTPBP1","GTPBP1"
"KCNK1","KCNK1;DPK;HOHO;K2P1;K2p1.1;KCNO1;TWIK-1;TWIK1"
"LGALS9","LGALS9"
"STXBP3","STXBP3"
"MASP2","MASP2"
"AP4M1","AP4M1"
"RAB27B","RAB27B"
"HRK","HRK;DP5;HARAKIRI"
"AP3B1","AP3B1"
"SULT2B1","SULT2B1"
"TLR4","TLR4"
"RHOD","RHOD"
"APBB1","APBB1"
"LGALS8","LGALS8;Gal-8;PCTA-1;PCTA1;Po66-CBP"
"NDUFS8","NDUFS8"
"HAS3","HAS3"
"NFKBIE","NFKBIE"
"GRM8","GRM8"
"PSMD11","PSMD11"
"PSMD12","PSMD12;Rpn5;STISS;p55"
"PSMD9","PSMD9"
"ATOX1","ATOX1"
"AGRP","AGRP"
"F2RL2","F2RL2"
"MEN1","MEN1"
"CBX4","CBX4;NBP16;PC2"
"SUPT5H","SUPT5H"
"TAF4","TAF4"
"DFFA","DFFA"
"LEFTY2","LEFTY2"
"TNFRSF11B","TNFRSF11B"
"EIF3F","EIF3F;EIF3S5;MRT67;eIF3-p47"
"CACNB4","CACNB4"
"WWP2","WWP2"
"CDC7","CDC7"
"ETV2","ETV2"
"UPK1A","UPK1A"
"ARNTL","ARNTL;ARNTL1;BMAL1c;JAP3;MOP3;PASD3;TIC;bHLHe5"
"PIK3CD","PIK3CD"
"PDHX","PDHX"
"SULT1C2","SULT1C2"
"MATN2","MATN2"
"SLC1A7","SLC1A7;AAAT;EAAT5"
"FOXE1","FOXE1"
"O00370","O00370"
"QSOX1","QSOX1"
"WASL","WASL"
"PDE2A","PDE2A"
"FOXN3","FOXN3;C14orf116;CHES1;PRO1635"
"IPO5","IPO5"
"POLRMT","POLRMT"
"EEF2K","EEF2K"
"SAP18","SAP18"
"EML1","EML1"
"IGF2BP3","IGF2BP3;CT98;IMP-3;IMP3;KOC;KOC1;VICKZ3"
"PIK3C2A","PIK3C2A"
"PLK4","PLK4"
"SYT5","SYT5"
"GFRA2","GFRA2"
"IFRD1","IFRD1"
"PIK3R2","PIK3R2;MPPH;MPPH1;P85B;p85;p85-BETA;p85beta"
"MANBA","MANBA"
"TRAF5","TRAF5"
"MEIS1","MEIS1"
"SLC17A3","SLC17A3"
"BTN3A1","BTN3A1"
"NR5A2","NR5A2"
"NDUFA4","NDUFA4"
"PSMD14","PSMD14"
"BIN1","BIN1;AMPH2;AMPHL;CNM2;SH3P9"
"KPNA3","KPNA3"
"STK25","STK25"
"USP9Y","USP9Y"
"BCL9","BCL9"
"FAAH","FAAH"
"KRIT1","KRIT1;CAM;CCM1"
"CHL1","CHL1"
"DLL1","DLL1"
"CACNA1A","CACNA1A"
"EBAG9","EBAG9"
"SDCBP","SDCBP"
"PITPNM1","PITPNM1;DRES9;NIR2;PITPNM;RDGB;RDGB1;RDGBA;RDGBA1;Rd9"
"MPHOSPH10","MPHOSPH10"
"NOP56","NOP56"
"SOX1","SOX1"
"DDX3X","DDX3X"
"CXCR6","CXCR6"
"CCL21","CCL21;6Ckine;CKb9;ECL;SCYA21;SLC;TCA4"
"MFNG","MFNG"
"ACKR2","ACKR2"
"GABRP","GABRP"
"FCN1","FCN1;FCNM"
"PIR","PIR"
"PEX7","PEX7"
"SLN","SLN"
"TRIM38","TRIM38"
"NFIB","NFIB;CTF;HMGIC/NFIB;MACID;NF-I/B;NF1-B;NFI-B;NFI-RED;NFIB2;NFIB3"
"E2F3","E2F3"
"WNT10B","WNT10B"
"PIK3C2B","PIK3C2B"
"WNT7A","WNT7A"
"FBP2","FBP2;FUBP2;KSRP;p75"
"UBE2C","UBE2C"
"ACACB","ACACB"
"SCD","SCD"
"CLDN4","CLDN4"
"PLPP1","PLPP1;LLP1a;LPP1;PAP-2a;PAP2;PPAP2A"
"PLPP3","PLPP3"
"BHLHE40","BHLHE40"
"NRG2","NRG2"
"SOCS7","SOCS7"
"CDK2AP1","CDK2AP1;DOC1;DORC1;ST19;doc-1;p12DOC-1"
"AQP7","AQP7"
"SDHD","SDHD"
"C2CD2L","C2CD2L"
"ASTN1","ASTN1"
"CUX2","CUX2;CDP2;CUTL2;DEE67;EIEE67"
"DPYSL4","DPYSL4"
"SOCS3","SOCS3"
"SOCS6","SOCS6"
"GAPDHS","GAPDHS;GAPD2;GAPDH-2;GAPDS;HEL-S-278;HSD-35"
"NDUFAB1","NDUFAB1"
"CIT","CIT"
"NCAN","NCAN"
"BPY2","BPY2"
"TMSB4Y","TMSB4Y"
"UTY","UTY;KDM6AL;KDM6C;UTY1"
"CDC42EP2","CDC42EP2"
"AP3D1","AP3D1"
"CXCL11","CXCL11"
"CDX4","CDX4"
"LCE2B","LCE2B"
"ENPP3","ENPP3;B10;CD203c;NPP3;PD-IBETA;PDNP3"
"DVL1","DVL1"
"DVL2","DVL2"
"DNALI1","DNALI1"
"CHD1","CHD1"
"GOSR2","GOSR2"
"TOR1A","TOR1A;AMC5;DQ2;DYT1"
"ABCD4","ABCD4"
"ENC1","ENC1"
"PTGES","PTGES"
"KMT2D","KMT2D"
"ITGB1BP1","ITGB1BP1"
"TRDMT1","TRDMT1;DMNT2;DNMT2;MHSAIIP;PUMET;RNMT1"
"RRH","RRH"
"IMPA2","IMPA2"
"MAP2K7","MAP2K7"
"ACOT8","ACOT8"
"CDIPT","CDIPT"
"PDCD5","PDCD5;TFAR19"
"SLC9A3R1","SLC9A3R1"
"TERT","TERT"
"OVOL1","OVOL1"
"HSD17B6","HSD17B6"
"CHEK1","CHEK1"
"MEIS2","MEIS2;CPCMR;HsT18361;MRG1"
"TPP1","TPP1"
"GNB5","GNB5"
"TCERG1","TCERG1"
"NDC80","NDC80"
"TNFSF11","TNFSF11"
"APOL1","APOL1;APO-L;APOL;APOL-I;FSGS4"
"MSTN","MSTN"
"SH2D1B","SH2D1B"
"POLR3A","POLR3A"
"TAAR5","TAAR5"
"CPLX1","CPLX1"
"PHOX2A","PHOX2A;ARIX;CFEOM2;FEOM2;NCAM2;PMX2A"
"PPEF1","PPEF1"
"PPEF2","PPEF2"
"PHYH","PHYH"
"TNFRSF13B","TNFRSF13B"
"OPLAH","OPLAH"
"FFAR1","FFAR1;FFA1R;GPCR40;GPR40"
"FFAR3","FFAR3"
"AIM2","AIM2"
"SLC30A4","SLC30A4"
"BACH1","BACH1"
"BCKDK","BCKDK"
"IFIT3","IFIT3;CIG-49;GARG-49;IFI60;IFIT4;IRG2;ISG60;P60;RIG-G;cig41"
"MGST3","MGST3"
"GEMIN2","GEMIN2"
"IRF6","IRF6"
"WNT9A","WNT9A"
"WNT9B","WNT9B"
"GIPC1","GIPC1;C19orf3;GIPC;GLUT1CBP;Hs.6454;IIP-1;NIP;OPDM2;RGS19IP1;SEMCAP;SYNECTIIN;SYNECTIN;TIP-2"
"LIN7A","LIN7A"
"PCDH17","PCDH17"
"IKBKB","IKBKB"
"RGS13","RGS13"
"RGS12","RGS12"
"TIMM23","TIMM23;TIM23"
"NCR3","NCR3"
"UBE2L6","UBE2L6"
"CASK","CASK"
"PLD2","PLD2"
"EREG","EREG"
"UQCRQ","UQCRQ;MC3DN4;QCR8;QP-C;QPC;UQCR7"
"MYL12B","MYL12B"
"CASQ2","CASQ2"
"HGS","HGS"
"CLGN","CLGN"
"PPP1R12A","PPP1R12A"
"SLC27A2","SLC27A2;ACSVL1;FACVL1;FATP2;HsT17226;VLACS;VLCS;hFACVL1"
"XPO1","XPO1"
"BTAF1","BTAF1"
"ATP2A1","ATP2A1"
"PIP5K1B","PIP5K1B"
"PPP1R2P9","PPP1R2P9;I-4"
"SPTBN2","SPTBN2"
"PLXNB2","PLXNB2"
"SEMA3E","SEMA3E;M-SEMAH;M-SemaK;SEMAH;coll-5"
"SETD1A","SETD1A"
"KDM6B","KDM6B"
"PER2","PER2"
"SYNJ2","SYNJ2"
"KIF3B","KIF3B"
"PFAS","PFAS;FGAMS;FGAR-AT;FGARAT;GATD8;PURL"
"MCF2L","MCF2L"
"ADAMTS3","ADAMTS3"
"DCLK1","DCLK1"
"CEP290","CEP290"
"ZNF536","ZNF536"
"KIAA0391","KIAA0391"
"SMAD7","SMAD7"
"CHUK","CHUK"
"LSM1","LSM1"
"NPC1","NPC1"
"TBX3","TBX3;TBX3-ISO;UMS;XHL"
"AGPAT2","AGPAT2"
"ANGPT2","ANGPT2"
"NPFF","NPFF"
"ARPC2","ARPC2"
"ZBTB7B","ZBTB7B"
"POLR1C","POLR1C;AC40;HLD11;RPA39;RPA40;RPA5;RPAC1;RPC40;TCS3"
"PLSCR1","PLSCR1"
"TRIM24","TRIM24"
"LDLRAD4","LDLRAD4"
"AXIN1","AXIN1"
"T","T;SAVA;TFT"
"CETN3","CETN3"
"SMAD9","SMAD9"
"UBD","UBD"
"WDR46","WDR46"
"GPR182","GPR182;7TMR;ADMR;AM-R;AMR;G10D;L1-R;gamrh;hrhAMR"
"GNPAT","GNPAT"
"KMO","KMO"
"LAMA5","LAMA5"
"MRPS12","MRPS12"
"VGF","VGF;SCG7;SgVII"
"LEPROT","LEPROT"
"SLC22A2","SLC22A2"
"SLC22A1","SLC22A1"
"ACOX3","ACOX3"
"NPHP1","NPHP1;JBTS4;NPH1;SLSN1"
"SURF4","SURF4"
"SPTLC1","SPTLC1"
"TCAP","TCAP"
"FANCG","FANCG"
"OGT","OGT;HINCUT-1;HRNT1;MRX106;O-GLCNAC;OGT1;XLID106"
"ALOX15B","ALOX15B"
"PPM1D","PPM1D"
"GRM6","GRM6"
"SIVA1","SIVA1"
"INPP4B","INPP4B"
"CHAD","CHAD"
"ATP6V0E1","ATP6V0E1"
"HMGB3","HMGB3"
"TP73","TP73;CILD47;P73"
"FOXN1","FOXN1"
"GPR37","GPR37"
"INPPL1","INPPL1"
"SOX12","SOX12"
"SLC16A4","SLC16A4"
"HDAC3","HDAC3;HD3;KDAC3;RPD3;RPD3-2"
"NVL","NVL"
"YY2","YY2"
"BIRC5","BIRC5"
"TMPRSS2","TMPRSS2"
"GRIN2D","GRIN2D"
"STX7","STX7"
"FOXP2","FOXP2"
"TNRC18","TNRC18"
"SLC31A1","SLC31A1"
"SLC31A2","SLC31A2"
"ABCC3","ABCC3"
"ABCC4","ABCC4;MOAT-B;MOATB;MRP4"
"CCL25","CCL25"
"CD3EAP","CD3EAP"
"MSH4","MSH4"
"ST8SIA5","ST8SIA5"
"CCL16","CCL16"
"GYG2","GYG2;GN-2;GN2"
"PLA2G10","PLA2G10"
"YKT6","YKT6"
"INSIG1","INSIG1"
"NUPL2","NUPL2"
"POLR2D","POLR2D"
"CLOCK","CLOCK;KAT13D;bHLHe8"
"CFLAR","CFLAR"
"FGF10","FGF10"
"SOCS1","SOCS1"
"MAFG","MAFG"
"CYP27B1","CYP27B1;CP2B;CYP1;CYP1alpha;CYP27B;P450c1;PDDR;VDD1;VDDR;VDDRI;VDR"
"PDPK1","PDPK1"
"PER1","PER1"
"RS1","RS1"
"RNF113A","RNF113A"
"P2RX6","P2RX6;P2RXL1;P2X6;P2XM"
"FFAR2","FFAR2"
"MEFV","MEFV"
"KCNN4","KCNN4"
"ERVK-18","ERVK-18"
"DHX15","DHX15;DBP1;DDX15;PRP43;PRPF43;PrPp43p;hPrp43"
"SGSM2","SGSM2"
"TET3","TET3"
"FLRT2","FLRT2"
"TTI1","TTI1"
"PLXNB1","PLXNB1;PLEXIN-B1;PLXN5;SEP"
"RRP8","RRP8"
"PJA2","PJA2"
"PRPF4","PRPF4"
"ST8SIA3","ST8SIA3"
"CYP26A1","CYP26A1;CP26;CYP26;P450RAI;P450RAI1"
"PHGDH","PHGDH"
"NDUFS4","NDUFS4"
"ARHGAP6","ARHGAP6"
"CRX","CRX;CORD2;CRD;LCA7;OTX3"
"MLNR","MLNR"
"SEPT4","SEPT4"
"SLC7A4","SLC7A4"
"RBFOX2","RBFOX2"
"PAPSS1","PAPSS1;ATPSK1;PAPSS;SK1"
"SIAH2","SIAH2"
"ZNHIT1","ZNHIT1"
"ZW10","ZW10"
"SPINT1","SPINT1"
"TREH","TREH;TRE;TREA;TREHD"
"B4GALT5","B4GALT5"
"SART1","SART1"
"GPAA1","GPAA1"
"DAPK3","DAPK3"
"TGFB1I1","TGFB1I1;ARA55;HIC-5;HIC5;TSC-5"
"AP5Z1","AP5Z1"
"ADCY6","ADCY6"
"MTSS1","MTSS1"
"AQP9","AQP9"
"MAP3K7","MAP3K7;CSCF;FMD2;MEKK7;TAK1;TGF1a"
"FGF16","FGF16"
"DHH","DHH"
"EEF1E1","EEF1E1"
"MSI1","MSI1"
"RIPK2","RIPK2;CARD3;CARDIAK;CCK;GIG30;RICK;RIP2"
"HOXA2","HOXA2"
"HOXA3","HOXA3"
"HNRNPR","HNRNPR"
"TXNL1","TXNL1;HEL-S-114;TRP32;TXL-1;TXNL;Txl"
"GRID2","GRID2"
"EIF4G3","EIF4G3"
"TBX1","TBX1"
"PPIH","PPIH"
"MGAM","MGAM;MG;MGA"
"MBTPS2","MBTPS2"
"SUV39H1","SUV39H1"
"HTRA2","HTRA2"
"KLF4","KLF4"
"OIP5","OIP5"
"AKR7A2","AKR7A2;AFAR;AFAR1;AFB1-AR1;AKR7"
"PROM1","PROM1"
"EPB41L2","EPB41L2"
"B4GAT1","B4GAT1"
"TNFSF12","TNFSF12"
"SLC26A4","SLC26A4"
"ATP8B1","ATP8B1;ATPIC;BRIC;FIC1;ICP1;PFIC;PFIC1"
"BCL2L11","BCL2L11"
"FOXO3","FOXO3"
"KCNQ3","KCNQ3"
"CHST10","CHST10"
"SMAD6","SMAD6"
"XRCC3","XRCC3;CMM6"
"XRCC2","XRCC2"
